step,epoch,train_loss_step,lr-Adam,val_loss,train_loss_epoch,test_loss
7349,114,0.26910924911499023,,,,
7359,114,,,0.04065859690308571,,
7359,114,,,,0.23573559522628784,
7360,,,0.001,,,
7399,,,0.001,,,
7399,115,0.22697500884532928,,,,
7423,115,,,0.039932217448949814,,
7423,115,,,,0.238289937376976,
7424,,,0.001,,,
7449,,,0.001,,,
7449,116,0.2970169484615326,,,,
7487,116,,,0.04262837395071983,,
7487,116,,,,0.2357195019721985,
7488,,,0.001,,,
7499,,,0.001,,,
7499,117,0.26650312542915344,,,,
7549,,,0.001,,,
7549,117,0.11939333379268646,,,,
7551,117,,,0.041569873690605164,,
7551,117,,,,0.23479220271110535,
7552,,,0.001,,,
7599,,,0.001,,,
7599,118,0.23912814259529114,,,,
7615,118,,,0.0402250811457634,,
7615,118,,,,0.2371102124452591,
7616,,,0.001,,,
7649,,,0.001,,,
7649,119,0.23046281933784485,,,,
7679,119,,,0.04386534541845322,,
7679,119,,,,0.2359597235918045,
7680,,,0.001,,,
7699,,,0.001,,,
7699,120,0.20114730298519135,,,,
7743,120,,,0.040070850402116776,,
7743,120,,,,0.2375236302614212,
7744,,,0.001,,,
7749,,,0.001,,,
7749,121,0.1199682205915451,,,,
7799,,,0.001,,,
7799,121,0.13972730934619904,,,,
7807,121,,,0.042134251445531845,,
7807,121,,,,0.23589558899402618,
7808,,,0.001,,,
7849,,,0.001,,,
7849,122,0.22854435443878174,,,,
7871,122,,,0.042880620807409286,,
7871,122,,,,0.23735862970352173,
7872,,,0.001,,,
7899,,,0.001,,,
7899,123,0.2587987184524536,,,,
7935,123,,,0.039932914078235626,,
7935,123,,,,0.23512481153011322,
7936,,,0.001,,,
7949,,,0.001,,,
7949,124,0.2825658917427063,,,,
7999,,,0.001,,,
7999,124,0.11839091777801514,,,,
7999,124,,,0.04166572540998459,,
7999,124,,,,0.2319275438785553,
8000,,,0.001,,,
8049,,,0.001,,,
8049,125,0.2639424800872803,,,,
8063,125,,,0.04088959842920303,,
8063,125,,,,0.23612438142299652,
8064,,,0.001,,,
8099,,,0.001,,,
8099,126,0.3442026376724243,,,,
8127,126,,,0.04125496745109558,,
8127,126,,,,0.23606809973716736,
8128,,,0.001,,,
8149,,,0.001,,,
8149,127,0.2567225694656372,,,,
8191,127,,,0.04131822660565376,,
8191,127,,,,0.23520374298095703,
8192,,,0.001,,,
8199,,,0.001,,,
8199,128,0.32111817598342896,,,,
8249,,,0.001,,,
8249,128,0.15782538056373596,,,,
8255,128,,,0.040241118520498276,,
8255,128,,,,0.23558270931243896,
8256,,,0.001,,,
8299,,,0.001,,,
8299,129,0.27203086018562317,,,,
8319,129,,,0.03945263475179672,,
8319,129,,,,0.2348516434431076,
8320,,,0.001,,,
8349,,,0.001,,,
8349,130,0.21437318623065948,,,,
8383,130,,,0.04043227806687355,,
8383,130,,,,0.23356887698173523,
8384,,,0.001,,,
8399,,,0.001,,,
8399,131,0.19775578379631042,,,,
8447,131,,,0.04230070859193802,,
8447,131,,,,0.2369624525308609,
8448,,,0.001,,,
8449,,,0.001,,,
8449,132,0.25504815578460693,,,,
8499,,,0.001,,,
8499,132,0.21104532480239868,,,,
8511,132,,,0.03925875946879387,,
8511,132,,,,0.23525500297546387,
8512,,,0.001,,,
8549,,,0.001,,,
8549,133,0.2780962288379669,,,,
8575,133,,,0.03944658488035202,,
8575,133,,,,0.23347297310829163,
8576,,,0.001,,,
8599,,,0.001,,,
8599,134,0.23965226113796234,,,,
8639,134,,,0.04000966250896454,,
8639,134,,,,0.23404525220394135,
8640,,,0.001,,,
8649,,,0.001,,,
8649,135,0.2595755159854889,,,,
8699,,,0.001,,,
8699,135,0.3305019736289978,,,,
8703,135,,,0.040325894951820374,,
8703,135,,,,0.2406662553548813,
8704,,,0.001,,,
8749,,,0.001,,,
8749,136,0.1870572566986084,,,,
8767,136,,,0.040936179459095,,
8767,136,,,,0.23378606140613556,
8768,,,0.001,,,
8799,,,0.001,,,
8799,137,0.2476574182510376,,,,
8831,137,,,0.04038332402706146,,
8831,137,,,,0.23732119798660278,
8832,,,0.001,,,
8849,,,0.001,,,
8849,138,0.2635963261127472,,,,
8895,138,,,0.039364129304885864,,
8895,138,,,,0.23385848104953766,
8896,,,0.001,,,
8899,,,0.001,,,
8899,139,0.21323171257972717,,,,
8949,,,0.001,,,
8949,139,0.12576119601726532,,,,
8959,139,,,0.04280053451657295,,
8959,139,,,,0.23398447036743164,
8960,,,0.001,,,
8999,,,0.001,,,
8999,140,0.31436192989349365,,,,
9023,140,,,0.039089977741241455,,
9023,140,,,,0.23483379185199738,
9024,,,0.001,,,
9049,,,0.001,,,
9049,141,0.2276325821876526,,,,
9087,141,,,0.03934472054243088,,
9087,141,,,,0.2346062958240509,
9088,,,0.001,,,
9099,,,0.001,,,
9099,142,0.26689672470092773,,,,
9149,,,0.001,,,
9149,142,0.2535778284072876,,,,
9151,142,,,0.04064313694834709,,
9151,142,,,,0.2355148196220398,
9152,,,0.001,,,
9199,,,0.001,,,
9199,143,0.24150365591049194,,,,
9215,143,,,0.03928189352154732,,
9215,143,,,,0.2353145331144333,
9216,,,0.001,,,
9249,,,0.001,,,
9249,144,0.27663663029670715,,,,
9279,144,,,0.03854075446724892,,
9279,144,,,,0.2335129678249359,
9280,,,0.001,,,
9299,,,0.001,,,
9299,145,0.23432263731956482,,,,
9343,145,,,0.03975840285420418,,
9343,145,,,,0.23401835560798645,
9344,,,0.001,,,
9349,,,0.001,,,
9349,146,0.1911209225654602,,,,
9399,,,0.001,,,
9399,146,0.18258674442768097,,,,
9407,146,,,0.039061348885297775,,
9407,146,,,,0.23674540221691132,
9408,,,0.001,,,
9449,,,0.001,,,
9449,147,0.20393653213977814,,,,
9471,147,,,0.03866288810968399,,
9471,147,,,,0.23411597311496735,
9472,,,0.001,,,
9499,,,0.001,,,
9499,148,0.2548512816429138,,,,
9535,148,,,0.04135793074965477,,
9535,148,,,,0.2359849512577057,
9536,,,0.001,,,
9549,,,0.001,,,
9549,149,0.34355443716049194,,,,
9599,,,0.001,,,
9599,149,0.23715992271900177,,,,
9599,149,,,0.03966810554265976,,
9599,149,,,,0.2342817783355713,
