lr-Adam,train_loss_step,epoch,step,val_loss,train_loss_epoch,test_loss
,0.32188788056373596,144,9249,,,
,,144,9279,0.0231170617043972,,
,,144,9279,,0.21088334918022156,
0.001,,,9280,,,
0.001,,,9299,,,
,0.1811768263578415,145,9299,,,
,,145,9343,0.0255849938839674,,
,,145,9343,,0.21382123231887817,
0.001,,,9344,,,
0.001,,,9349,,,
,0.25093722343444824,146,9349,,,
0.001,,,9399,,,
,0.12787553668022156,146,9399,,,
,,146,9407,0.023717155680060387,,
,,146,9407,,0.21069738268852234,
0.001,,,9408,,,
0.001,,,9449,,,
,0.27591001987457275,147,9449,,,
,,147,9471,0.023437878116965294,,
,,147,9471,,0.2110651582479477,
0.001,,,9472,,,
0.001,,,9499,,,
,0.18829433619976044,148,9499,,,
,,148,9535,0.02320878393948078,,
,,148,9535,,0.20884229242801666,
0.001,,,9536,,,
0.001,,,9549,,,
,0.21846236288547516,149,9549,,,
0.001,,,9599,,,
,0.22531262040138245,149,9599,,,
,,149,9599,0.023792508989572525,,
,,149,9599,,0.21222199499607086,
0.001,,,9600,,,
0.001,,,9649,,,
,0.24549834430217743,150,9649,,,
,,150,9663,0.026621989905834198,,
,,150,9663,,0.2115325629711151,
0.001,,,9664,,,
0.001,,,9699,,,
,0.2019093632698059,151,9699,,,
,,151,9727,0.024047842249274254,,
,,151,9727,,0.2112351357936859,
0.001,,,9728,,,
0.001,,,9749,,,
,0.2576196789741516,152,9749,,,
,,152,9791,0.024624008685350418,,
,,152,9791,,0.21010561287403107,
0.001,,,9792,,,
0.001,,,9799,,,
,0.24557583034038544,153,9799,,,
0.001,,,9849,,,
,0.34556788206100464,153,9849,,,
,,153,9855,0.02391115203499794,,
,,153,9855,,0.2098524272441864,
0.001,,,9856,,,
0.001,,,9899,,,
,0.21297422051429749,154,9899,,,
,,154,9919,0.029444755986332893,,
,,154,9919,,0.21426095068454742,
0.001,,,9920,,,
0.001,,,9949,,,
,0.2655538022518158,155,9949,,,
,,155,9983,0.02370906062424183,,
,,155,9983,,0.21035391092300415,
0.001,,,9984,,,
0.001,,,9999,,,
,0.2803964614868164,156,9999,,,
,,156,10047,0.023067032918334007,,
,,156,10047,,0.20942747592926025,
0.001,,,10048,,,
0.001,,,10049,,,
,0.27596360445022583,157,10049,,,
0.001,,,10099,,,
,0.1721402406692505,157,10099,,,
,,157,10111,0.02303451858460903,,
,,157,10111,,0.21073324978351593,
0.001,,,10112,,,
0.001,,,10149,,,
,0.2380298227071762,158,10149,,,
,,158,10175,0.022840948775410652,,
,,158,10175,,0.20994633436203003,
0.001,,,10176,,,
0.001,,,10199,,,
,0.17754396796226501,159,10199,,,
,,159,10239,0.023863410577178,,
,,159,10239,,0.2116856426000595,
0.001,,,10240,,,
0.001,,,10249,,,
,0.15584033727645874,160,10249,,,
0.001,,,10299,,,
,0.24356624484062195,160,10299,,,
,,160,10303,0.022570759057998657,,
,,160,10303,,0.21092656254768372,
