step,epoch,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
9087,141,,,,0.24326321482658386,
9088,,0.001,,,,
9099,,0.001,,,,
9099,142,,0.27425724267959595,,,
9149,,0.001,,,,
9149,142,,0.264394074678421,,,
9151,142,,,0.05026329308748245,,
9151,142,,,,0.24360056221485138,
9152,,0.001,,,,
9199,,0.001,,,,
9199,143,,0.26192131638526917,,,
9215,143,,,0.048274487257003784,,
9215,143,,,,0.24637296795845032,
9216,,0.001,,,,
9249,,0.001,,,,
9249,144,,0.2847750782966614,,,
9279,144,,,0.048044998198747635,,
9279,144,,,,0.2432461827993393,
9280,,0.001,,,,
9299,,0.001,,,,
9299,145,,0.24740248918533325,,,
9343,145,,,0.04730291664600372,,
9343,145,,,,0.24489156901836395,
9344,,0.001,,,,
9349,,0.001,,,,
9349,146,,0.19759583473205566,,,
9399,,0.001,,,,
9399,146,,0.19718532264232635,,,
9407,146,,,0.047210659831762314,,
9407,146,,,,0.24429963529109955,
9408,,0.001,,,,
9449,,0.001,,,,
9449,147,,0.21300169825553894,,,
9471,147,,,0.047124795615673065,,
9471,147,,,,0.24271847307682037,
9472,,0.001,,,,
9499,,0.001,,,,
9499,148,,0.25779661536216736,,,
9535,148,,,0.04723043739795685,,
9535,148,,,,0.24466219544410706,
9536,,0.001,,,,
9549,,0.001,,,,
9549,149,,0.3573237657546997,,,
9599,,0.001,,,,
9599,149,,0.24484778940677643,,,
9599,149,,,0.04848837852478027,,
9599,149,,,,0.24302718043327332,
9600,,0.001,,,,
9649,,0.001,,,,
9649,150,,0.2825382351875305,,,
9663,150,,,0.04673604294657707,,
9663,150,,,,0.24336570501327515,
9664,,0.001,,,,
9699,,0.001,,,,
9699,151,,0.2660030126571655,,,
9727,151,,,0.04988287761807442,,
9727,151,,,,0.2443106472492218,
9728,,0.001,,,,
9749,,0.001,,,,
9749,152,,0.18058684468269348,,,
9791,152,,,0.05358704924583435,,
9791,152,,,,0.2452373057603836,
9792,,0.001,,,,
9799,,0.001,,,,
9799,153,,0.22119837999343872,,,
9849,,0.001,,,,
9849,153,,0.24697068333625793,,,
9855,153,,,0.04931635782122612,,
9855,153,,,,0.24301587045192719,
9856,,0.001,,,,
9899,,0.001,,,,
9899,154,,0.28298982977867126,,,
9919,154,,,0.04684942215681076,,
9919,154,,,,0.24380668997764587,
9920,,0.001,,,,
9949,,0.001,,,,
9949,155,,0.16734600067138672,,,
9983,155,,,0.04928575083613396,,
9983,155,,,,0.24236100912094116,
9984,,0.001,,,,
9999,,0.001,,,,
9999,156,,0.2384415566921234,,,
10047,156,,,0.0488751046359539,,
10047,156,,,,0.24665649235248566,
10048,,0.001,,,,
10049,,0.001,,,,
10049,157,,0.3269912898540497,,,
10099,,0.001,,,,
10099,157,,0.30340397357940674,,,
10111,157,,,0.048091914504766464,,
10111,157,,,,0.24214720726013184,
10112,,0.001,,,,
10149,,0.001,,,,
10149,158,,0.27828726172447205,,,
10175,158,,,0.04715970531105995,,
10175,158,,,,0.2413424402475357,
10176,,0.001,,,,
10199,,0.001,,,,
10199,159,,0.20101913809776306,,,
10239,159,,,0.048824746161699295,,
10239,159,,,,0.24171462655067444,
10240,,0.001,,,,
10249,,0.001,,,,
10249,160,,0.21617813408374786,,,
10299,,0.001,,,,
10299,160,,0.23465467989444733,,,
10303,160,,,0.04850855469703674,,
10303,160,,,,0.24128837883472443,
