lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch,test_loss
,5249,0.18589584529399872,82,,,
0.001,5299,,,,,
,5299,0.18489964306354523,82,,,
,5311,,82,0.18501684069633484,,
,5311,,82,,0.18524694442749023,
0.001,5312,,,,,
0.001,5349,,,,,
,5349,0.18442265689373016,83,,,
,5375,,83,0.18449075520038605,,
,5375,,83,,0.18521365523338318,
0.001,5376,,,,,
0.001,5399,,,,,
,5399,0.18494543433189392,84,,,
,5439,,84,0.18459050357341766,,
,5439,,84,,0.185092493891716,
0.001,5440,,,,,
0.001,5449,,,,,
,5449,0.18437041342258453,85,,,
0.001,5499,,,,,
,5499,0.18516892194747925,85,,,
,5503,,85,0.1845729947090149,,
,5503,,85,,0.18511250615119934,
0.001,5504,,,,,
0.001,5549,,,,,
,5549,0.18594054877758026,86,,,
,5567,,86,0.18448331952095032,,
,5567,,86,,0.18509173393249512,
0.001,5568,,,,,
0.001,5599,,,,,
,5599,0.18737296760082245,87,,,
,5631,,87,0.1847468614578247,,
,5631,,87,,0.18508167564868927,
0.001,5632,,,,,
0.001,5649,,,,,
,5649,0.18495723605155945,88,,,
,5695,,88,0.18460480868816376,,
,5695,,88,,0.185217022895813,
0.001,5696,,,,,
0.001,5699,,,,,
,5699,0.18604496121406555,89,,,
0.001,5749,,,,,
,5749,0.18517716228961945,89,,,
,5759,,89,0.18449008464813232,,
,5759,,89,,0.18504934012889862,
0.001,5760,,,,,
0.001,5799,,,,,
,5799,0.1841902732849121,90,,,
,5823,,90,0.18454191088676453,,
,5823,,90,,0.18507076799869537,
0.001,5824,,,,,
0.001,5849,,,,,
,5849,0.1846960335969925,91,,,
,5887,,91,0.18443183600902557,,
,5887,,91,,0.18507589399814606,
0.001,5888,,,,,
0.001,5899,,,,,
,5899,0.18420109152793884,92,,,
0.001,5949,,,,,
,5949,0.1844087839126587,92,,,
,5951,,92,0.18472717702388763,,
,5951,,92,,0.1852264106273651,
0.001,5952,,,,,
0.001,5999,,,,,
,5999,0.18585902452468872,93,,,
,6015,,93,0.18459239602088928,,
,6015,,93,,0.18516191840171814,
0.001,6016,,,,,
0.001,6049,,,,,
,6049,0.18449294567108154,94,,,
,6079,,94,0.1845455765724182,,
,6079,,94,,0.18511365354061127,
0.001,6080,,,,,
0.001,6099,,,,,
,6099,0.18503539264202118,95,,,
,6143,,95,0.18442541360855103,,
,6143,,95,,0.18501795828342438,
0.001,6144,,,,,
0.001,6149,,,,,
,6149,0.18447229266166687,96,,,
0.001,6199,,,,,
,6199,0.18547357618808746,96,,,
,6207,,96,0.18441356718540192,,
,6207,,96,,0.1850496381521225,
0.001,6208,,,,,
0.001,6249,,,,,
,6249,0.18396395444869995,97,,,
,6271,,97,0.18448564410209656,,
,6271,,97,,0.18502004444599152,
0.001,6272,,,,,
0.001,6299,,,,,
,6299,0.18471427261829376,98,,,
,6335,,98,0.18447020649909973,,
,6335,,98,,0.18501180410385132,
0.001,6336,,,,,
0.001,6349,,,,,
,6349,0.1853346824645996,99,,,
0.001,6399,,,,,
,6399,0.18503382802009583,99,,,
,6399,,99,0.18436826765537262,,
,6399,,99,,0.18502196669578552,
0.001,6400,,,,,
0.001,6449,,,,,
,6449,0.18546102941036224,100,,,
,6463,,100,0.18441714346408844,,
,6463,,100,,0.18505887687206268,
0.001,6464,,,,,
0.001,6499,,,,,
,6499,0.18401435017585754,101,,,
,6527,,101,0.1844564527273178,,
,6527,,101,,0.18504557013511658,
0.001,6528,,,,,
0.001,6549,,,,,
,6549,0.18590839207172394,102,,,
,6591,,102,0.18460045754909515,,
,6591,,102,,0.18497639894485474,
0.001,6592,,,,,
0.001,6599,,,,,
,6599,0.18523067235946655,103,,,
0.001,6649,,,,,
,6649,0.1838357150554657,103,,,
,6655,,103,0.184372216463089,,
,6655,,103,,0.18501341342926025,
0.001,6656,,,,,
0.001,6699,,,,,
,6699,0.1817082017660141,104,,,
,6719,,104,0.1843983680009842,,
,6719,,104,,0.18493838608264923,
0.001,6720,,,,,
0.001,6749,,,,,
,6749,0.1857888549566269,105,,,
,6783,,105,0.18445199728012085,,
,6783,,105,,0.1849362850189209,
0.001,6784,,,,,
0.001,6799,,,,,
,6799,0.18430885672569275,106,,,
,6847,,106,0.18433691561222076,,
,6847,,106,,0.18495360016822815,
0.001,6848,,,,,
0.001,6849,,,,,
,6849,0.18581655621528625,107,,,
0.001,6899,,,,,
,6899,0.19331733882427216,107,,,
,6911,,107,0.1864510029554367,,
,6911,,107,,0.18615978956222534,
0.001,6912,,,,,
0.001,6949,,,,,
,6949,0.18750834465026855,108,,,
,6975,,108,0.18461386859416962,,
,6975,,108,,0.1860240250825882,
0.001,6976,,,,,
0.001,6999,,,,,
,6999,0.18447692692279816,109,,,
,7039,,109,0.18445985019207,,
,7039,,109,,0.18508581817150116,
0.001,7040,,,,,
0.001,7049,,,,,
,7049,0.18463250994682312,110,,,
0.001,7099,,,,,
,7099,0.18447758257389069,110,,,
,7103,,110,0.18446631729602814,,
,7103,,110,,0.18505902588367462,
0.001,7104,,,,,
0.001,7149,,,,,
,7149,0.18695993721485138,111,,,
,7167,,111,0.18442243337631226,,
,7167,,111,,0.18504001200199127,
0.001,7168,,,,,
0.001,7199,,,,,
,7199,0.18626925349235535,112,,,
,7231,,112,0.18442776799201965,,
,7231,,112,,0.1850842833518982,
0.001,7232,,,,,
0.001,7249,,,,,
,7249,0.18499146401882172,113,,,
,7295,,113,0.1848391592502594,,
,7295,,113,,0.18518918752670288,
0.001,7296,,,,,
0.001,7299,,,,,
,7299,0.18524353206157684,114,,,
0.001,7349,,,,,
,7349,0.1855558156967163,114,,,
,7359,,114,0.18433548510074615,,
,7359,,114,,0.18502922356128693,
0.001,7360,,,,,
0.001,7399,,,,,
,7399,0.18453393876552582,115,,,
,7423,,115,0.18433447182178497,,
,7423,,115,,0.18491466343402863,
0.001,7424,,,,,
0.001,7449,,,,,
,7449,0.18584395945072174,116,,,
,7487,,116,0.18434759974479675,,
,7487,,116,,0.18492980301380157,
0.001,7488,,,,,
0.001,7499,,,,,
,7499,0.18531976640224457,117,,,
0.001,7549,,,,,
,7549,0.18540801107883453,117,,,
,7551,,117,0.18439707159996033,,
,7551,,117,,0.1849663257598877,
0.001,7552,,,,,
0.001,7599,,,,,
,7599,0.18467585742473602,118,,,
,7615,,118,0.1843554973602295,,
,7615,,118,,0.18497982621192932,
0.001,7616,,,,,
0.001,7649,,,,,
,7649,0.1854269653558731,119,,,
,7679,,119,0.18435274064540863,,
,7679,,119,,0.1849406361579895,
0.001,7680,,,,,
0.001,7699,,,,,
,7699,0.18411964178085327,120,,,
,7743,,120,0.1843031346797943,,
,7743,,120,,0.18491047620773315,
0.001,7744,,,,,
0.001,7749,,,,,
,7749,0.1848771572113037,121,,,
0.001,7799,,,,,
,7799,0.18438822031021118,121,,,
,7807,,121,0.18435294926166534,,
,7807,,121,,0.18490448594093323,
0.001,7808,,,,,
0.001,7849,,,,,
,7849,0.18430186808109283,122,,,
,7871,,122,0.1843395084142685,,
,7871,,122,,0.184869185090065,
0.001,7872,,,,,
0.001,7899,,,,,
,7899,0.18576933443546295,123,,,
,7935,,123,0.18442925810813904,,
,7935,,123,,0.184925377368927,
0.001,7936,,,,,
0.001,7949,,,,,
,7949,0.18407650291919708,124,,,
0.001,7999,,,,,
,7999,0.1858527958393097,124,,,
,7999,,124,0.18428896367549896,,
,7999,,124,,0.18496550619602203,
0.001,8000,,,,,
0.001,8049,,,,,
,8049,0.18629366159439087,125,,,
,8063,,125,0.1842964142560959,,
,8063,,125,,0.18487077951431274,
0.001,8064,,,,,
0.001,8099,,,,,
,8099,0.18616075813770294,126,,,
,8127,,126,0.18429051339626312,,
,8127,,126,,0.18488559126853943,
0.001,8128,,,,,
0.001,8149,,,,,
,8149,0.18607160449028015,127,,,
,8191,,127,0.18427824974060059,,
,8191,,127,,0.18486592173576355,
0.001,8192,,,,,
0.001,8199,,,,,
,8199,0.18493106961250305,128,,,
0.001,8249,,,,,
,8249,0.18516062200069427,128,,,
,8255,,128,0.1842699497938156,,
,8255,,128,,0.184886172413826,
0.001,8256,,,,,
0.001,8299,,,,,
,8299,0.1859721839427948,129,,,
,8319,,129,0.18436479568481445,,
,8319,,129,,0.18491864204406738,
0.001,8320,,,,,
0.001,8349,,,,,
,8349,0.18305745720863342,130,,,
,8383,,130,0.18431054055690765,,
,8383,,130,,0.1851169764995575,
0.001,8384,,,,,
0.001,8399,,,,,
,8399,0.1856706142425537,131,,,
,8447,,131,0.1842568963766098,,
,8447,,131,,0.1848379671573639,
0.001,8448,,,,,
0.001,8449,,,,,
,8449,0.18475860357284546,132,,,
0.001,8499,,,,,
,8499,0.1848829984664917,132,,,
,8511,,132,0.1842820942401886,,
,8511,,132,,0.1848454475402832,
0.001,8512,,,,,
0.001,8549,,,,,
,8549,0.1856503039598465,133,,,
,8575,,133,0.18452712893486023,,
,8575,,133,,0.18483129143714905,
0.001,8576,,,,,
0.001,8599,,,,,
,8599,0.18546195328235626,134,,,
,8639,,134,0.18427494168281555,,
,8639,,134,,0.18486861884593964,
0.001,8640,,,,,
0.001,8649,,,,,
,8649,0.18504060804843903,135,,,
0.001,8699,,,,,
,8699,0.18445423245429993,135,,,
,8703,,135,0.18427638709545135,,
,8703,,135,,0.1849261224269867,
0.001,8704,,,,,
0.001,8749,,,,,
,8749,0.18586206436157227,136,,,
,8767,,136,0.18425576388835907,,
,8767,,136,,0.18494872748851776,
0.001,8768,,,,,
0.001,8799,,,,,
,8799,0.1851321905851364,137,,,
,8831,,137,0.18429380655288696,,
,8831,,137,,0.18490156531333923,
0.001,8832,,,,,
0.001,8849,,,,,
,8849,0.18696337938308716,138,,,
,8895,,138,0.18436485528945923,,
,8895,,138,,0.1848476529121399,
0.001,8896,,,,,
0.001,8899,,,,,
,8899,0.18386712670326233,139,,,
0.001,8949,,,,,
,8949,0.18636645376682281,139,,,
,8959,,139,0.1842864602804184,,
,8959,,139,,0.18496769666671753,
0.001,8960,,,,,
0.001,8999,,,,,
,8999,0.18373613059520721,140,,,
,9023,,140,0.18426498770713806,,
,9023,,140,,0.18485812842845917,
0.001,9024,,,,,
0.001,9049,,,,,
,9049,0.18642109632492065,141,,,
,9087,,141,0.18434013426303864,,
,9087,,141,,0.1848117858171463,
0.001,9088,,,,,
0.001,9099,,,,,
,9099,0.18603454530239105,142,,,
0.001,9149,,,,,
,9149,0.18326714634895325,142,,,
,9151,,142,0.18422968685626984,,
,9151,,142,,0.18482887744903564,
0.001,9152,,,,,
0.001,9199,,,,,
,9199,0.1837950497865677,143,,,
,9215,,143,0.18428510427474976,,
,9215,,143,,0.18486259877681732,
0.001,9216,,,,,
0.001,9249,,,,,
,9249,0.18581682443618774,144,,,
,9279,,144,0.18427610397338867,,
,9279,,144,,0.18481817841529846,
0.001,9280,,,,,
0.001,9299,,,,,
,9299,0.1849357783794403,145,,,
,9343,,145,0.1842135190963745,,
,9343,,145,,0.18485429883003235,
0.001,9344,,,,,
0.001,9349,,,,,
,9349,0.18562772870063782,146,,,
0.001,9399,,,,,
,9399,0.18602100014686584,146,,,
,9407,,146,0.18419723212718964,,
,9407,,146,,0.18480052053928375,
