step,train_loss_step,lr-AdamW,epoch,val_loss,train_loss_epoch,test_loss
7487,,,116,0.04466278478503227,,
7487,,,116,,0.23702684044837952,
7488,,0.001,,,,
7499,,0.001,,,,
7499,0.11897420883178711,,117,,,
7549,,0.001,,,,
7549,0.18777604401111603,,117,,,
7551,,,117,0.04526146501302719,,
7551,,,117,,0.2384873479604721,
7552,,0.001,,,,
7599,,0.001,,,,
7599,0.21492795646190643,,118,,,
7615,,,118,0.04406477510929108,,
7615,,,118,,0.23955903947353363,
7616,,0.001,,,,
7649,,0.001,,,,
7649,0.16821891069412231,,119,,,
7679,,,119,0.045231979340314865,,
7679,,,119,,0.23634882271289825,
7680,,0.001,,,,
7699,,0.001,,,,
7699,0.2539454996585846,,120,,,
7743,,,120,0.049906082451343536,,
7743,,,120,,0.2401043325662613,
7744,,0.001,,,,
7749,,0.001,,,,
7749,0.20423409342765808,,121,,,
7799,,0.001,,,,
7799,0.3205379247665405,,121,,,
7807,,,121,0.04419964551925659,,
7807,,,121,,0.2400112897157669,
7808,,0.001,,,,
7849,,0.001,,,,
7849,0.2138175368309021,,122,,,
7871,,,122,0.04847392439842224,,
7871,,,122,,0.23787051439285278,
7872,,0.001,,,,
7899,,0.001,,,,
7899,0.2070559859275818,,123,,,
7935,,,123,0.04541420564055443,,
7935,,,123,,0.23674577474594116,
7936,,0.001,,,,
7949,,0.001,,,,
7949,0.259924054145813,,124,,,
7999,,0.001,,,,
7999,0.20016813278198242,,124,,,
7999,,,124,0.043907854706048965,,
7999,,,124,,0.23965340852737427,
8000,,0.001,,,,
8049,,0.001,,,,
8049,0.2564387619495392,,125,,,
8063,,,125,0.04517921805381775,,
8063,,,125,,0.2388909012079239,
8064,,0.001,,,,
8099,,0.001,,,,
8099,0.2692826986312866,,126,,,
8127,,,126,0.04393588379025459,,
8127,,,126,,0.23981693387031555,
8128,,0.001,,,,
8149,,0.001,,,,
8149,0.24960365891456604,,127,,,
8191,,,127,0.047005314379930496,,
8191,,,127,,0.23840637505054474,
8192,,0.001,,,,
8199,,0.001,,,,
8199,0.22870519757270813,,128,,,
8249,,0.001,,,,
8249,0.2635073959827423,,128,,,
8255,,,128,0.04424777999520302,,
8255,,,128,,0.23829810321331024,
8256,,0.001,,,,
8299,,0.001,,,,
8299,0.19787174463272095,,129,,,
8319,,,129,0.04504114016890526,,
8319,,,129,,0.23918287456035614,
8320,,0.001,,,,
8349,,0.001,,,,
8349,0.30810612440109253,,130,,,
8383,,,130,0.04350033029913902,,
8383,,,130,,0.23969531059265137,
8384,,0.001,,,,
8399,,0.001,,,,
8399,0.22897469997406006,,131,,,
