epoch,train_loss_step,lr-Adam,step,val_loss,train_loss_epoch,test_loss
137,,,8831,,0.02339819446206093,
,,0.001,8832,,,
,,0.001,8849,,,
138,0.022854505106806755,,8849,,,
138,,,8895,0.022646650671958923,,
138,,,8895,,0.023113295435905457,
,,0.001,8896,,,
,,0.001,8899,,,
139,0.022824252024292946,,8899,,,
,,0.001,8949,,,
139,0.023890631273388863,,8949,,,
139,,,8959,0.02276674099266529,,
139,,,8959,,0.023265616968274117,
,,0.001,8960,,,
,,0.001,8999,,,
140,0.024415330961346626,,8999,,,
140,,,9023,0.023367471992969513,,
140,,,9023,,0.023583238944411278,
,,0.001,9024,,,
,,0.001,9049,,,
141,0.02311437763273716,,9049,,,
141,,,9087,0.023251866921782494,,
141,,,9087,,0.02331051602959633,
,,0.001,9088,,,
,,0.001,9099,,,
142,0.02361852303147316,,9099,,,
,,0.001,9149,,,
142,0.02289356291294098,,9149,,,
142,,,9151,0.02322653867304325,,
142,,,9151,,0.024497251957654953,
,,0.001,9152,,,
,,0.001,9199,,,
143,0.02309020608663559,,9199,,,
143,,,9215,0.02332296594977379,,
143,,,9215,,0.023519180715084076,
,,0.001,9216,,,
,,0.001,9249,,,
144,0.023107005283236504,,9249,,,
144,,,9279,0.022462807595729828,,
144,,,9279,,0.02310769632458687,
,,0.001,9280,,,
,,0.001,9299,,,
145,0.02284942753612995,,9299,,,
145,,,9343,0.023062122985720634,,
145,,,9343,,0.022893648594617844,
,,0.001,9344,,,
,,0.001,9349,,,
146,0.024321243166923523,,9349,,,
,,0.001,9399,,,
146,0.022340871393680573,,9399,,,
146,,,9407,0.022668512538075447,,
146,,,9407,,0.023054704070091248,
,,0.001,9408,,,
,,0.001,9449,,,
147,0.02396898902952671,,9449,,,
147,,,9471,0.023314712569117546,,
147,,,9471,,0.023682989180088043,
,,0.001,9472,,,
,,0.001,9499,,,
148,0.024145955219864845,,9499,,,
148,,,9535,0.022696057334542274,,
148,,,9535,,0.02279476821422577,
,,0.001,9536,,,
,,0.001,9549,,,
149,0.022386057302355766,,9549,,,
,,0.001,9599,,,
149,0.023253142833709717,,9599,,,
149,,,9599,0.023209374397993088,,
149,,,9599,,0.023175643756985664,
,,0.001,9600,,,
,,0.001,9649,,,
150,0.023204386234283447,,9649,,,
150,,,9663,0.022999942302703857,,
150,,,9663,,0.022718504071235657,
,,0.001,9664,,,
,,0.001,9699,,,
151,0.021826330572366714,,9699,,,
151,,,9727,0.02262946590781212,,
151,,,9727,,0.022477220743894577,
,,0.001,9728,,,
,,0.001,9749,,,
152,0.022868432104587555,,9749,,,
152,,,9791,0.02323860302567482,,
152,,,9791,,0.022944916039705276,
,,0.001,9792,,,
,,0.001,9799,,,
153,0.02269464172422886,,9799,,,
,,0.001,9849,,,
153,0.02171183004975319,,9849,,,
153,,,9855,0.022863753139972687,,
153,,,9855,,0.02310948073863983,
,,0.001,9856,,,
,,0.001,9899,,,
154,0.023545386269688606,,9899,,,
154,,,9919,0.023223264142870903,,
154,,,9919,,0.02267879620194435,
,,0.001,9920,,,
,,0.001,9949,,,
155,0.022351179271936417,,9949,,,
155,,,9983,0.02266194112598896,,
155,,,9983,,0.022596554830670357,
,,0.001,9984,,,
,,0.001,9999,,,
156,0.02237587794661522,,9999,,,
156,,,10047,0.022305427119135857,,
156,,,10047,,0.022601203992962837,
,,0.001,10048,,,
,,0.001,10049,,,
157,0.022237123921513557,,10049,,,
,,0.001,10099,,,
157,0.024008270353078842,,10099,,,
157,,,10111,0.023892102763056755,,
157,,,10111,,0.022757360711693764,
,,0.001,10112,,,
,,0.001,10149,,,
158,0.021494317799806595,,10149,,,
158,,,10175,0.024029497057199478,,
158,,,10175,,0.022598301991820335,
,,0.001,10176,,,
,,0.001,10199,,,
159,0.022461775690317154,,10199,,,
159,,,10239,0.022846393287181854,,
159,,,10239,,0.022496894001960754,
,,0.001,10240,,,
