epoch,step,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
,9216,0.001,,,,
,9249,0.001,,,,
144,9249,,0.013429122976958752,,,
144,9279,,,0.013299242593348026,,
144,9279,,,,0.013397881761193275,
,9280,0.001,,,,
,9299,0.001,,,,
145,9299,,0.013637722469866276,,,
145,9343,,,0.012996582314372063,,
145,9343,,,,0.013364193961024284,
,9344,0.001,,,,
,9349,0.001,,,,
146,9349,,0.013607853092253208,,,
,9399,0.001,,,,
146,9399,,0.01304390374571085,,,
146,9407,,,0.014207002706825733,,
146,9407,,,,0.013514254242181778,
,9408,0.001,,,,
,9449,0.001,,,,
147,9449,,0.013499235734343529,,,
147,9471,,,0.013349741697311401,,
147,9471,,,,0.013667385093867779,
,9472,0.001,,,,
,9499,0.001,,,,
148,9499,,0.01395315770059824,,,
148,9535,,,0.012905847281217575,,
148,9535,,,,0.013434799388051033,
,9536,0.001,,,,
,9549,0.001,,,,
149,9549,,0.014285472221672535,,,
,9599,0.001,,,,
149,9599,,0.013857060112059116,,,
149,9599,,,0.013620102778077126,,
149,9599,,,,0.013495958410203457,
,9600,0.001,,,,
,9649,0.001,,,,
150,9649,,0.013324396684765816,,,
150,9663,,,0.013421474024653435,,
150,9663,,,,0.01357061043381691,
,9664,0.001,,,,
,9699,0.001,,,,
151,9699,,0.014797499403357506,,,
151,9727,,,0.013159479014575481,,
151,9727,,,,0.013705863617360592,
,9728,0.001,,,,
,9749,0.001,,,,
152,9749,,0.01333571132272482,,,
152,9791,,,0.013005468994379044,,
152,9791,,,,0.013467750512063503,
,9792,0.001,,,,
,9799,0.001,,,,
153,9799,,0.013779649510979652,,,
,9849,0.001,,,,
153,9849,,0.013099691830575466,,,
153,9855,,,0.01328497938811779,,
153,9855,,,,0.013420234434306622,
,9856,0.001,,,,
,9899,0.001,,,,
154,9899,,0.013378462754189968,,,
154,9919,,,0.01335030235350132,,
154,9919,,,,0.01349516399204731,
,9920,0.001,,,,
,9949,0.001,,,,
155,9949,,0.01364356093108654,,,
155,9983,,,0.012862221337854862,,
155,9983,,,,0.01338950451463461,
,9984,0.001,,,,
,9999,0.001,,,,
156,9999,,0.013014782220125198,,,
156,10047,,,0.01336547452956438,,
156,10047,,,,0.013248329982161522,
,10048,0.001,,,,
,10049,0.001,,,,
157,10049,,0.013986692763864994,,,
,10099,0.001,,,,
157,10099,,0.013124141842126846,,,
157,10111,,,0.014639445580542088,,
157,10111,,,,0.013216820545494556,
,10112,0.001,,,,
,10149,0.001,,,,
158,10149,,0.01398890558630228,,,
158,10175,,,0.013120869174599648,,
158,10175,,,,0.013663958758115768,
,10176,0.001,,,,
,10199,0.001,,,,
159,10199,,0.01343323290348053,,,
159,10239,,,0.012912038713693619,,
159,10239,,,,0.013336796313524246,
,10240,0.001,,,,
,10249,0.001,,,,
160,10249,,0.013051200658082962,,,
,10299,0.001,,,,
160,10299,,0.013233833014965057,,,
160,10303,,,0.013198849745094776,,
