step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
7871,,122,,,0.7902883291244507,
7872,0.001,,,,,
7899,0.001,,,,,
7899,,123,0.7989472150802612,,,
7935,,123,,0.7970187067985535,,
7935,,123,,,0.7903870344161987,
7936,0.001,,,,,
7949,0.001,,,,,
7949,,124,0.8184313178062439,,,
7999,0.001,,,,,
7999,,124,0.8016657829284668,,,
7999,,124,,0.7970192432403564,,
7999,,124,,,0.7902455925941467,
8000,0.001,,,,,
8049,0.001,,,,,
8049,,125,0.7679681777954102,,,
8063,,125,,0.7972244620323181,,
8063,,125,,,0.7901575565338135,
8064,0.001,,,,,
8099,0.001,,,,,
8099,,126,0.7965167760848999,,,
8127,,126,,0.7994338870048523,,
8127,,126,,,0.7903692722320557,
8128,0.001,,,,,
8149,0.001,,,,,
8149,,127,0.8041364550590515,,,
8191,,127,,0.7972046136856079,,
8191,,127,,,0.791638970375061,
8192,0.001,,,,,
8199,0.001,,,,,
8199,,128,0.75774747133255,,,
8249,0.001,,,,,
8249,,128,0.7762795686721802,,,
8255,,128,,0.7969676852226257,,
8255,,128,,,0.7902469635009766,
8256,0.001,,,,,
8299,0.001,,,,,
8299,,129,0.7867475748062134,,,
8319,,129,,0.7969552874565125,,
8319,,129,,,0.7901496291160583,
8320,0.001,,,,,
8349,0.001,,,,,
8349,,130,0.7884452939033508,,,
8383,,130,,0.7969537377357483,,
8383,,130,,,0.7901255488395691,
8384,0.001,,,,,
8399,0.001,,,,,
8399,,131,0.779500424861908,,,
8447,,131,,0.796857476234436,,
8447,,131,,,0.7901217937469482,
8448,0.001,,,,,
8449,0.001,,,,,
8449,,132,0.8011995553970337,,,
8499,0.001,,,,,
8499,,132,0.807968020439148,,,
8511,,132,,0.796866774559021,,
8511,,132,,,0.7901329398155212,
8512,0.001,,,,,
8549,0.001,,,,,
8549,,133,0.7957308292388916,,,
8575,,133,,0.7969256043434143,,
8575,,133,,,0.7901690602302551,
8576,0.001,,,,,
8599,0.001,,,,,
8599,,134,0.7853721380233765,,,
8639,,134,,0.7969671487808228,,
8639,,134,,,0.790115475654602,
8640,0.001,,,,,
8649,0.001,,,,,
8649,,135,0.7843080163002014,,,
8699,0.001,,,,,
8699,,135,0.7988826036453247,,,
8703,,135,,0.7968962788581848,,
8703,,135,,,0.7901428937911987,
8704,0.001,,,,,
8749,0.001,,,,,
8749,,136,0.80357426404953,,,
8767,,136,,0.7968340516090393,,
8767,,136,,,0.7900468707084656,
8768,0.001,,,,,
8799,0.001,,,,,
8799,,137,0.8023509979248047,,,
8831,,137,,0.7971213459968567,,
8831,,137,,,0.7903218269348145,
8832,0.001,,,,,
8849,0.001,,,,,
8849,,138,0.8012258410453796,,,
8895,,138,,0.7968593239784241,,
8895,,138,,,0.7901812195777893,
8896,0.001,,,,,
8899,0.001,,,,,
8899,,139,0.7863446474075317,,,
8949,0.001,,,,,
8949,,139,0.775405764579773,,,
8959,,139,,0.7968166470527649,,
8959,,139,,,0.7902886867523193,
8960,0.001,,,,,
8999,0.001,,,,,
8999,,140,0.7778096199035645,,,
9023,,140,,0.7971935272216797,,
9023,,140,,,0.790852963924408,
9024,0.001,,,,,
9049,0.001,,,,,
9049,,141,0.7750113010406494,,,
9087,,141,,0.7969585061073303,,
9087,,141,,,0.7902208566665649,
9088,0.001,,,,,
9099,0.001,,,,,
9099,,142,0.7798967361450195,,,
9149,0.001,,,,,
9149,,142,0.7999886870384216,,,
9151,,142,,0.7969192266464233,,
9151,,142,,,0.790165364742279,
9152,0.001,,,,,
9199,0.001,,,,,
9199,,143,0.7647191882133484,,,
9215,,143,,0.7969779968261719,,
9215,,143,,,0.7900866866111755,
9216,0.001,,,,,
9249,0.001,,,,,
9249,,144,0.7814475893974304,,,
9279,,144,,0.7967316508293152,,
9279,,144,,,0.7900570631027222,
9280,0.001,,,,,
9299,0.001,,,,,
9299,,145,0.7874470949172974,,,
9343,,145,,0.796758770942688,,
9343,,145,,,0.7899825572967529,
9344,0.001,,,,,
9349,0.001,,,,,
9349,,146,0.8183594942092896,,,
9399,0.001,,,,,
9399,,146,0.8028416037559509,,,
9407,,146,,0.796796977519989,,
9407,,146,,,0.7899907231330872,
9408,0.001,,,,,
9449,0.001,,,,,
9449,,147,0.7740473747253418,,,
9471,,147,,0.796746551990509,,
9471,,147,,,0.7899942994117737,
9472,0.001,,,,,
9499,0.001,,,,,
9499,,148,0.798311173915863,,,
9535,,148,,0.7973426580429077,,
9535,,148,,,0.7900403738021851,
9536,0.001,,,,,
9549,0.001,,,,,
9549,,149,0.7824549078941345,,,
9599,0.001,,,,,
9599,,149,0.7903628945350647,,,
9599,,149,,0.7966957688331604,,
9599,,149,,,0.7901850938796997,
9600,0.001,,,,,
9649,0.001,,,,,
9649,,150,0.7865685224533081,,,
9663,,150,,0.7967751026153564,,
9663,,150,,,0.7899884581565857,
9664,0.001,,,,,
9699,0.001,,,,,
9699,,151,0.7864289283752441,,,
9727,,151,,0.7967987656593323,,
9727,,151,,,0.7901175618171692,
9728,0.001,,,,,
9749,0.001,,,,,
9749,,152,0.8025040030479431,,,
9791,,152,,0.7966800928115845,,
9791,,152,,,0.7899271249771118,
9792,0.001,,,,,
9799,0.001,,,,,
9799,,153,0.8121395111083984,,,
9849,0.001,,,,,
9849,,153,0.8152344822883606,,,
9855,,153,,0.7966852784156799,,
9855,,153,,,0.7899364233016968,
9856,0.001,,,,,
9899,0.001,,,,,
9899,,154,0.7835390567779541,,,
9919,,154,,0.7970589995384216,,
9919,,154,,,0.790043294429779,
9920,0.001,,,,,
9949,0.001,,,,,
9949,,155,0.8160727620124817,,,
9983,,155,,0.7968943119049072,,
9983,,155,,,0.7901297807693481,
9984,0.001,,,,,
9999,0.001,,,,,
9999,,156,0.7682382464408875,,,
10047,,156,,0.7973223924636841,,
10047,,156,,,0.790194571018219,
10048,0.001,,,,,
10049,0.001,,,,,
10049,,157,0.7844491600990295,,,
10099,0.001,,,,,
10099,,157,0.7843650579452515,,,
10111,,157,,0.7966727614402771,,
10111,,157,,,0.7900328040122986,
10112,0.001,,,,,
10149,0.001,,,,,
10149,,158,0.8258460164070129,,,
10175,,158,,0.796635091304779,,
10175,,158,,,0.7898894548416138,
10176,0.001,,,,,
10199,0.001,,,,,
10199,,159,0.7860718965530396,,,
10239,,159,,0.7966419458389282,,
10239,,159,,,0.7898882031440735,
10240,0.001,,,,,
10249,0.001,,,,,
10249,,160,0.8071733713150024,,,
10299,0.001,,,,,
10299,,160,0.7669078707695007,,,
10303,,160,,0.7970672845840454,,
10303,,160,,,0.7898648381233215,
10304,0.001,,,,,
10349,0.001,,,,,
10349,,161,0.8068766593933105,,,
