train_loss_step,lr-Adam,epoch,step,val_loss,train_loss_epoch,test_loss
,,109,7039,0.7972888946533203,,
,,109,7039,,0.7905409336090088,
,0.001,,7040,,,
,0.001,,7049,,,
0.8143649101257324,,110,7049,,,
,0.001,,7099,,,
0.7833620309829712,,110,7099,,,
,,110,7103,0.7974209785461426,,
,,110,7103,,0.7906449437141418,
,0.001,,7104,,,
,0.001,,7149,,,
0.8208448886871338,,111,7149,,,
,,111,7167,0.7974153757095337,,
,,111,7167,,0.7905892133712769,
,0.001,,7168,,,
,0.001,,7199,,,
0.7588360905647278,,112,7199,,,
,,112,7231,0.7972185611724854,,
,,112,7231,,0.7910887002944946,
,0.001,,7232,,,
,0.001,,7249,,,
0.7920653820037842,,113,7249,,,
,,113,7295,0.7971486449241638,,
,,113,7295,,0.7904380559921265,
,0.001,,7296,,,
,0.001,,7299,,,
0.7911941409111023,,114,7299,,,
,0.001,,7349,,,
0.747486412525177,,114,7349,,,
,,114,7359,0.7970975637435913,,
,,114,7359,,0.790460467338562,
,0.001,,7360,,,
,0.001,,7399,,,
0.7807219624519348,,115,7399,,,
,,115,7423,0.79719477891922,,
,,115,7423,,0.7905099987983704,
,0.001,,7424,,,
,0.001,,7449,,,
0.7867225408554077,,116,7449,,,
,,116,7487,0.7974069118499756,,
,,116,7487,,0.7910029888153076,
,0.001,,7488,,,
,0.001,,7499,,,
0.7694229483604431,,117,7499,,,
,0.001,,7549,,,
0.776795506477356,,117,7549,,,
,,117,7551,0.7970746755599976,,
,,117,7551,,0.7905720472335815,
,0.001,,7552,,,
,0.001,,7599,,,
0.8008683919906616,,118,7599,,,
,,118,7615,0.7972318530082703,,
,,118,7615,,0.7904171347618103,
,0.001,,7616,,,
,0.001,,7649,,,
0.7965616583824158,,119,7649,,,
,,119,7679,0.797153890132904,,
,,119,7679,,0.790477454662323,
,0.001,,7680,,,
,0.001,,7699,,,
0.777302086353302,,120,7699,,,
,,120,7743,0.7973942756652832,,
,,120,7743,,0.7904830574989319,
,0.001,,7744,,,
,0.001,,7749,,,
0.8009884357452393,,121,7749,,,
,0.001,,7799,,,
0.7616882920265198,,121,7799,,,
,,121,7807,0.7970569133758545,,
,,121,7807,,0.7904582023620605,
,0.001,,7808,,,
,0.001,,7849,,,
0.7817826271057129,,122,7849,,,
,,122,7871,0.7975443005561829,,
,,122,7871,,0.7903977632522583,
,0.001,,7872,,,
,0.001,,7899,,,
0.7988715767860413,,123,7899,,,
,,123,7935,0.7970713376998901,,
,,123,7935,,0.7903015613555908,
,0.001,,7936,,,
,0.001,,7949,,,
0.8184337019920349,,124,7949,,,
,0.001,,7999,,,
0.8016919493675232,,124,7999,,,
,,124,7999,0.7970526218414307,,
,,124,7999,,0.7902843356132507,
,0.001,,8000,,,
,0.001,,8049,,,
0.768792986869812,,125,8049,,,
,,125,8063,0.7985851764678955,,
,,125,8063,,0.7903257012367249,
,0.001,,8064,,,
,0.001,,8099,,,
0.7967863082885742,,126,8099,,,
,,126,8127,0.7970548868179321,,
,,126,8127,,0.7905796766281128,
,0.001,,8128,,,
,0.001,,8149,,,
0.8033933639526367,,127,8149,,,
,,127,8191,0.797081708908081,,
,,127,8191,,0.7903817296028137,
,0.001,,8192,,,
,0.001,,8199,,,
0.7577198147773743,,128,8199,,,
,0.001,,8249,,,
0.7765409350395203,,128,8249,,,
,,128,8255,0.7969464063644409,,
,,128,8255,,0.790288507938385,
,0.001,,8256,,,
,0.001,,8299,,,
0.786756157875061,,129,8299,,,
,,129,8319,0.7970740795135498,,
,,129,8319,,0.7901936173439026,
,0.001,,8320,,,
,0.001,,8349,,,
0.7886409759521484,,130,8349,,,
,,130,8383,0.7971436381340027,,
,,130,8383,,0.790409505367279,
,0.001,,8384,,,
,0.001,,8399,,,
0.7796380519866943,,131,8399,,,
,,131,8447,0.7968645691871643,,
,,131,8447,,0.7902879118919373,
,0.001,,8448,,,
,0.001,,8449,,,
0.8012051582336426,,132,8449,,,
,0.001,,8499,,,
0.8080432415008545,,132,8499,,,
,,132,8511,0.7968945503234863,,
,,132,8511,,0.7902213335037231,
,0.001,,8512,,,
,0.001,,8549,,,
0.7956227660179138,,133,8549,,,
,,133,8575,0.7968801259994507,,
,,133,8575,,0.7901764512062073,
,0.001,,8576,,,
,0.001,,8599,,,
0.785413920879364,,134,8599,,,
,,134,8639,0.7969130277633667,,
,,134,8639,,0.7901830673217773,
,0.001,,8640,,,
,0.001,,8649,,,
0.7843214273452759,,135,8649,,,
,0.001,,8699,,,
0.7989630699157715,,135,8699,,,
,,135,8703,0.7970342040061951,,
,,135,8703,,0.7901836037635803,
,0.001,,8704,,,
,0.001,,8749,,,
0.8037183284759521,,136,8749,,,
,,136,8767,0.796904444694519,,
,,136,8767,,0.7901328802108765,
,0.001,,8768,,,
,0.001,,8799,,,
0.8024025559425354,,137,8799,,,
,,137,8831,0.7971680164337158,,
,,137,8831,,0.7903140187263489,
,0.001,,8832,,,
,0.001,,8849,,,
0.8012492060661316,,138,8849,,,
,,138,8895,0.7968531847000122,,
,,138,8895,,0.790187656879425,
,0.001,,8896,,,
,0.001,,8899,,,
0.7864440083503723,,139,8899,,,
,0.001,,8949,,,
0.7752797603607178,,139,8949,,,
,,139,8959,0.7968434691429138,,
,,139,8959,,0.7900786399841309,
,0.001,,8960,,,
,0.001,,8999,,,
0.7765368819236755,,140,8999,,,
,,140,9023,0.7968946695327759,,
,,140,9023,,0.790094792842865,
,0.001,,9024,,,
,0.001,,9049,,,
0.7748396396636963,,141,9049,,,
,,141,9087,0.7968689799308777,,
,,141,9087,,0.7900842428207397,
,0.001,,9088,,,
,0.001,,9099,,,
0.7796067595481873,,142,9099,,,
,0.001,,9149,,,
0.8001481294631958,,142,9149,,,
,,142,9151,0.7974125742912292,,
,,142,9151,,0.7902419567108154,
,0.001,,9152,,,
,0.001,,9199,,,
0.7649220824241638,,143,9199,,,
,,143,9215,0.7971764802932739,,
,,143,9215,,0.7903087735176086,
,0.001,,9216,,,
,0.001,,9249,,,
0.7816281914710999,,144,9249,,,
,,144,9279,0.7970215678215027,,
,,144,9279,,0.7900755405426025,
,0.001,,9280,,,
,0.001,,9299,,,
0.7875473499298096,,145,9299,,,
,,145,9343,0.7968429923057556,,
,,145,9343,,0.7901698350906372,
,0.001,,9344,,,
,0.001,,9349,,,
0.8184458017349243,,146,9349,,,
,0.001,,9399,,,
0.8028876185417175,,146,9399,,,
,,146,9407,0.7968059182167053,,
,,146,9407,,0.7900400161743164,
,0.001,,9408,,,
,0.001,,9449,,,
0.7740756273269653,,147,9449,,,
,,147,9471,0.7972480058670044,,
,,147,9471,,0.7900686860084534,
,0.001,,9472,,,
,0.001,,9499,,,
0.7982630729675293,,148,9499,,,
,,148,9535,0.797727108001709,,
,,148,9535,,0.7905592918395996,
,0.001,,9536,,,
,0.001,,9549,,,
0.7824072241783142,,149,9549,,,
,0.001,,9599,,,
0.7904701232910156,,149,9599,,,
,,149,9599,0.7967772483825684,,
,,149,9599,,0.7902907729148865,
,0.001,,9600,,,
,0.001,,9649,,,
0.7864675521850586,,150,9649,,,
,,150,9663,0.7967479825019836,,
,,150,9663,,0.7899878621101379,
,0.001,,9664,,,
,0.001,,9699,,,
0.7863054871559143,,151,9699,,,
,,151,9727,0.7968431711196899,,
,,151,9727,,0.7899889945983887,
,0.001,,9728,,,
,0.001,,9749,,,
0.8025796413421631,,152,9749,,,
,,152,9791,0.7966927886009216,,
,,152,9791,,0.7900074124336243,
,0.001,,9792,,,
,0.001,,9799,,,
0.8121946454048157,,153,9799,,,
,0.001,,9849,,,
0.8151635527610779,,153,9849,,,
,,153,9855,0.7966541647911072,,
,,153,9855,,0.7899577021598816,
,0.001,,9856,,,
,0.001,,9899,,,
0.7835716009140015,,154,9899,,,
,,154,9919,0.7977582216262817,,
,,154,9919,,0.7900412082672119,
,0.001,,9920,,,
,0.001,,9949,,,
0.8168951869010925,,155,9949,,,
,,155,9983,0.7970060110092163,,
,,155,9983,,0.7905510067939758,
,0.001,,9984,,,
,0.001,,9999,,,
0.7682116031646729,,156,9999,,,
,,156,10047,0.7968454360961914,,
,,156,10047,,0.7901100516319275,
,0.001,,10048,,,
,0.001,,10049,,,
0.7844253182411194,,157,10049,,,
,0.001,,10099,,,
0.7843810319900513,,157,10099,,,
,,157,10111,0.7967830300331116,,
,,157,10111,,0.7899875640869141,
,0.001,,10112,,,
,0.001,,10149,,,
0.826062798500061,,158,10149,,,
,,158,10175,0.7966475486755371,,
,,158,10175,,0.7900329828262329,
,0.001,,10176,,,
,0.001,,10199,,,
0.7861313819885254,,159,10199,,,
,,159,10239,0.7966710925102234,,
,,159,10239,,0.7899391651153564,
,0.001,,10240,,,
,0.001,,10249,,,
0.8071717023849487,,160,10249,,,
,0.001,,10299,,,
0.7669018507003784,,160,10299,,,
,,160,10303,0.7968398928642273,,
,,160,10303,,0.7899056673049927,
,0.001,,10304,,,
,0.001,,10349,,,
0.8058669567108154,,161,10349,,,
