train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,,9299,0.001,,,
0.04363379627466202,145,9299,,,,
,145,9343,,0.040089208632707596,,
,145,9343,,,0.04057212918996811,
,,9344,0.001,,,
,,9349,0.001,,,
0.04021286219358444,146,9349,,,,
,,9399,0.001,,,
0.04072730988264084,146,9399,,,,
,146,9407,,0.040676284581422806,,
,146,9407,,,0.04022141546010971,
,,9408,0.001,,,
,,9449,0.001,,,
0.040949203073978424,147,9449,,,,
,147,9471,,0.04012897238135338,,
,147,9471,,,0.040092337876558304,
,,9472,0.001,,,
,,9499,0.001,,,
0.04002704471349716,148,9499,,,,
,148,9535,,0.04288093373179436,,
,148,9535,,,0.040141016244888306,
,,9536,0.001,,,
,,9549,0.001,,,
0.03842248022556305,149,9549,,,,
,,9599,0.001,,,
0.04252275079488754,149,9599,,,,
,149,9599,,0.040755704045295715,,
,149,9599,,,0.04000217095017433,
,,9600,0.001,,,
,,9649,0.001,,,
0.038006220012903214,150,9649,,,,
,150,9663,,0.03958844766020775,,
,150,9663,,,0.03960447385907173,
,,9664,0.001,,,
,,9699,0.001,,,
0.040236372500658035,151,9699,,,,
,151,9727,,0.04000995308160782,,
,151,9727,,,0.03930411487817764,
,,9728,0.001,,,
,,9749,0.001,,,
0.039584726095199585,152,9749,,,,
,152,9791,,0.03874286264181137,,
,152,9791,,,0.03925850987434387,
,,9792,0.001,,,
,,9799,0.001,,,
0.038897398859262466,153,9799,,,,
,,9849,0.001,,,
0.038771502673625946,153,9849,,,,
,153,9855,,0.038434840738773346,,
,153,9855,,,0.03940999135375023,
,,9856,0.001,,,
,,9899,0.001,,,
0.03973807021975517,154,9899,,,,
,154,9919,,0.03870583698153496,,
,154,9919,,,0.0389065220952034,
,,9920,0.001,,,
,,9949,0.001,,,
0.037713173776865005,155,9949,,,,
,155,9983,,0.03979460150003433,,
,155,9983,,,0.03845592588186264,
,,9984,0.001,,,
,,9999,0.001,,,
0.03823743760585785,156,9999,,,,
,156,10047,,0.03841347247362137,,
,156,10047,,,0.03893622010946274,
,,10048,0.001,,,
,,10049,0.001,,,
0.03831105679273605,157,10049,,,,
,,10099,0.001,,,
0.037357132881879807,157,10099,,,,
,157,10111,,0.03878376632928848,,
,157,10111,,,0.03833070024847984,
,,10112,0.001,,,
,,10149,0.001,,,
0.037501197308301926,158,10149,,,,
,158,10175,,0.037720635533332825,,
,158,10175,,,0.03824375942349434,
,,10176,0.001,,,
,,10199,0.001,,,
0.037616126239299774,159,10199,,,,
,159,10239,,0.039568737149238586,,
,159,10239,,,0.03806618973612785,
,,10240,0.001,,,
,,10249,0.001,,,
0.03887082263827324,160,10249,,,,
,,10299,0.001,,,
0.03855229169130325,160,10299,,,,
,160,10303,,0.03813725709915161,,
